"","WMU","PC","time_diff"
"1","7A",0.00691992459253414,26.2227699756622
"2","9H",0.0108247419793184,55.428582906723
"3","8N",0.0516629967068871,6.09741997718811
"4","6S",0.0043491489048766,25.694326877594
"5","5H",0.159498528940407,671.81302189827
"6","5A",0.00302651367722172,34.8295609951019
"7","4Z",0.0385634265959624,6.49769401550293
"8","4Y",0.0103768743061613,6.12034797668457
"9","4W",0.0968575614507949,6.37523484230042
"10","4T",0.0104163258680977,4.95364999771118
"11","4S",0.062239776892516,5.90482997894287
"12","4R",0.0637975779127302,6.17411494255066
"13","4P",0.0584955393951537,9.87169599533081
"14","4O",0.0240958905141893,29.7189140319824
"15","4K",0.0232937746872198,8.55192804336548
"16","4J",0.00238658376207438,5.44969391822815
"17","4H",0.0549194339212876,7.52837109565735
"18","4G",0.0652542815093162,8.73147702217102
"19","4F",0.0170918201887937,90.1042909622192
"20","4C",0.0213971935214311,5.7820999622345
"21","4B",0.00682555796247473,6.01407718658447
"22","4A",0.0236778430378115,19.7330408096313
"23","3S",0.00823256884481298,38.1395709514618
"24","3R",0.0412534131492557,8.32271504402161
"25","3P",0.0150660289549277,4.60474705696106
"26","3N",0.0873504443729774,8.21771693229675
"27","3M",0.00532290780986312,95.6253349781036
"28","3K",0.110188574036826,6.20620608329773
"29","3J",0.00899829205368453,15.2228298187256
"30","3H",0.0520171415255852,14.8130378723145
"31","3G",0.0549686986851719,24.340255022049
"32","3F",0.021951592190956,19.5893280506134
"33","3C",0.0260613480568967,7.81282901763916
"34","3A",0.120851947171062,11.8357231616974
"35","2A",1.34534584920792e-05,3.45210695266724
"36","1C",0.000254854857332969,79.5325620174408
"37","1A",0.00105433661349393,6.11324405670166
"38","5J",0.0115543110126864,30.0453817844391
"39","7M",0.0180087669613376,67.4416029453278
"40","6K",0.015066193966874,75.4686720371246
"41","7F",0.000340417196059227,55.286484003067
"42","9Y",0.0519386008139774,4.21326398849487
"43","9X",0.0624910448176081,5.04553604125977
"44","9W",0.0759978486059603,5.79926991462708
"45","9T",0.08279224980903,5.72677707672119
"46","9S",0.265688068990588,3.19420504570007
"47","9R",0.0559162625690762,5.04187989234924
"48","9P",0.0338918987649573,11.1424689292908
"49","9N",0.0200554489482337,5.27785301208496
"50","9M",0.0732006567808407,7.29860401153564
"51","9K",0.0297726341465461,11.1492710113525
"52","9J",0.0143137673593209,29.2681360244751
"53","9G",0.00510134602849319,7.68439388275146
"54","9F",0.000684123109804304,12.135066986084
"55","9C",5.73186977671952e-05,4.57266998291016
"56","9A",0.000220935060192388,15.5316379070282
"57","8Y",0.0473637223205023,8.92325496673584
"58","8X",0.0157316378916469,8.63857889175415
"59","8W",0.0354155339322698,8.53695201873779
"60","8T",0.0337253771397396,8.63345003128052
"61","8S",0.00769455748928758,6.0164041519165
"62","8R",0.0102525945182785,6.48805594444275
"63","8P",0.027448235960289,7.25237488746643
"64","8M",0.00840168786218305,6.52345705032349
"65","8J",0.000221286703832764,30.6276261806488
"66","8H",0.000546419976724079,22.4704968929291
"67","8G",0.000116841872231852,41.3656249046326
"68","8F",0.000792468090623485,64.1216540336609
"69","8C",0.000357850460762742,4.58978009223938
"70","8A",0.00202771713689183,14.548015832901
"71","7S",0.0153964519966473,22.6410200595856
"72","7R",0.0201614735709736,20.2901430130005
"73","7P",0.0151613243804564,13.8718459606171
"74","7J",0.00221699353163887,48.9529030323028
"75","7H",0.000568943549922365,8.12838292121887
"76","6R",0.00188278140375817,23.1260120868683
"77","6P",0.00457271119401834,11.2362229824066
"78","6N",0.116119121972559,28.6964800357819
"79","6J",0.0960378155461222,409.571218013763
"80","6H",0.0612132628672868,4.87068700790405
"81","6G",0.000283698121394945,73.870208978653
"82","6F",0.0500226353165685,38.1598589420319
"83","6C",0.00142996835273456,71.4869821071625
"84","6A",0.00051214851533176,272.322612047195
"85","5T",0.00581200689230767,6.02433514595032
"86","5S",0.0192420074870336,14.5891530513763
"87","5R",0.00534693263618122,26.090824842453
"88","5G",0.022522442235169,32.0648000240326
"89","5F",0.166662470928435,81.1351928710938
"90","5C",0.142448259516646,25.3476791381836
"91","4U",0.122320751966276,4.48181295394897
"92","4L",0.193662991484761,3.61650800704956
